Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
28170;Wadesboro;NC;34.985423;-80.08543;-5;1;34.985423,-80.08543
27593;Wilsons Mills;NC;35.590731;-78.360723;-5;1;35.590731,-78.360723
28133;Peachland;NC;34.969886;-80.27001;-5;1;34.969886,-80.27001
27253;Graham;NC;36.031837;-79.37815;-5;1;36.031837,-79.37815
28905;Marble;NC;35.152197;-83.94231;-5;1;35.152197,-83.94231
27228;Bynum;NC;35.783476;-79.129791;-5;1;35.783476,-79.129791
28326;Cameron;NC;35.278125;-79.15153;-5;1;35.278125,-79.15153
27722;Durham;NC;36.051155;-78.857651;-5;1;36.051155,-78.857651
28136;Polkville;NC;35.396126;-81.630272;-5;1;35.396126,-81.630272
27521;Coats;NC;35.408375;-78.66964;-5;1;35.408375,-78.66964
28327;Carthage;NC;35.319639;-79.40248;-5;1;35.319639,-79.40248
28544;Midway Park;NC;34.724322;-77.31866;-5;1;34.724322,-77.31866
27301;McLeansville;NC;36.108536;-79.6808;-5;1;36.108536,-79.6808
27829;Fountain;NC;35.686549;-77.64461;-5;1;35.686549,-77.64461
27701;Durham;NC;35.997193;-78.89731;-5;1;35.997193,-78.89731
27811;Bellarthur;NC;35.584685;-77.513357;-5;1;35.584685,-77.513357
27115;Winston Salem;NC;36.027482;-80.20728;-5;1;36.027482,-80.20728
28168;Vale;NC;35.545918;-81.42942;-5;1;35.545918,-81.42942
28527;Ernul;NC;35.244257;-77.01504;-5;1;35.244257,-77.01504
28237;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
28404;Wilmington;NC;33.926255;-78.07127;-5;1;33.926255,-78.07127
28808;Asheville;NC;35.486156;-82.532081;-5;1;35.486156,-82.532081
27594;Wise;NC;36.37367;-78.110931;-5;1;36.37367,-78.110931
28280;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
28755;Micaville;NC;35.909707;-82.21395;-5;1;35.909707,-82.21395
28362;Marietta;NC;34.368246;-79.12124;-5;1;34.368246,-79.12124
27022;Lawsonville;NC;36.52235;-80.22195;-5;1;36.52235,-80.22195
27946;Hobbsville;NC;36.362745;-76.60188;-5;1;36.362745,-76.60188
27616;Raleigh;NC;35.865441;-78.54929;-5;1;35.865441,-78.54929
27405;Greensboro;NC;36.107499;-79.75242;-5;1;36.107499,-79.75242
27596;Youngsville;NC;36.000487;-78.44921;-5;1;36.000487,-78.44921
27293;Lexington;NC;35.882943;-80.275963;-5;1;35.882943,-80.275963
27623;Raleigh;NC;35.797692;-78.625265;-5;1;35.797692,-78.625265
28173;Waxhaw;NC;34.929433;-80.73061;-5;1;34.929433,-80.73061
27312;Pittsboro;NC;35.756091;-79.17848;-5;1;35.756091,-79.17848
28469;Ocean Isle Beach;NC;33.913508;-78.44868;-5;1;33.913508,-78.44868
27025;Madison;NC;36.383107;-79.97451;-5;1;36.383107,-79.97451
27408;Greensboro;NC;36.101385;-79.81425;-5;1;36.101385,-79.81425
28582;Stella;NC;34.756033;-77.15405;-5;1;34.756033,-77.15405
28740;Greenmountain;NC;36.023817;-82.29237;-5;1;36.023817,-82.29237
